name,title,parent,position
PLO6,PLO6,null,
Modules,Modules,PLO6,left
Courses,Courses,PLO6,right
CMDT-M11,English for Academic Success,Modules,
CMDT-M11,English for Academic Success,Modules,
CMDT-M12,English for Media Developers,Modules,
142-111,English Booster,Courses,
142-112,English On Air,Courses,
142-115,English for Basic IT,Courses,
142-116,English Pronunciation,Courses,
142-117,Advanced Writing,Courses,
142-118,Academic English: Listening and Speaking,Courses,
142-119,Academic English: Reading and Writing,Courses,
142-211,English Everyday,Courses,
142-212,English for Personality and Development,Courses,
142-214,Media Language and Art of Storytelling,Courses,
142-215,Public Speaking,Courses,
142-224,Creative Medias for Academic Presentation,Courses,
142-226,Creative Presentation Design for Conference and Communication,Courses,
142-228,Basic Product Design Branding,Courses,
142-238,Learn to Roam,Courses,
142-372,Business Intelligence,Courses,
142-373,Digital Research for Creative Media,Courses,
